rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0009.jpg,3.6,0.7,0.0,0.0,1.0,0,0,True,True
2,frame_0010.jpg,4.0,0.7,0.0,0.0,1.0,0,0,True,False
3,frame_0020.jpg,8.0,0.7,0.0,0.0,1.0,0,0,True,True
4,frame_0023.jpg,9.2,0.7,0.0,0.0,1.0,0,0,True,False
5,frame_0025.jpg,10.0,0.7,0.0,0.0,1.0,0,0,True,True
6,frame_0132.jpg,52.8,0.7,0.0,0.0,1.0,0,0,True,True
7,frame_0202.jpg,80.8,0.6588,0.9276,0.25,0.6,1,1,False,True
8,frame_0083.jpg,33.2,0.628,0.0,0.0,0.64,0,0,True,True
9,frame_0122.jpg,48.8,0.62,0.0,0.0,0.6,0,0,True,True
10,frame_0201.jpg,80.4,0.612,0.0,0.0,0.56,0,0,True,False
11,frame_0287.jpg,114.8,0.6053,0.3385,1.0,0.68,7,4,False,True
12,frame_0284.jpg,113.6,0.5867,0.6493,0.5,0.56,2,2,False,False
13,frame_0090.jpg,36.0,0.572,0.0,0.0,0.36,0,0,True,True
14,frame_0091.jpg,36.4,0.564,0.0,0.0,0.32,0,0,True,False
15,frame_0219.jpg,87.6,0.564,0.0,0.0,0.32,0,0,True,True
16,frame_0220.jpg,88.0,0.556,0.0,0.0,0.28,0,0,True,False
17,frame_0221.jpg,88.4,0.548,0.0,0.0,0.24,0,0,True,False
18,frame_0320.jpg,128.0,0.548,0.0,0.0,0.24,0,0,True,True
19,frame_0222.jpg,88.8,0.54,0.0,0.0,0.2,0,0,True,False
20,frame_0001.jpg,0.4,0.5381,0.3762,0.5,1.0,3,2,False,True
21,frame_0223.jpg,89.2,0.532,0.0,0.0,0.16,0,0,True,False
22,frame_0179.jpg,71.6,0.524,0.0,0.0,0.12,0,0,True,False
23,frame_0105.jpg,42.0,0.516,0.0,0.0,0.08,0,0,True,False
24,frame_0189.jpg,75.6,0.516,0.0,0.0,0.08,0,0,True,False
25,frame_0310.jpg,124.0,0.516,0.0,0.0,0.08,0,0,True,False
26,frame_0371.jpg,148.4,0.516,0.0,0.0,0.08,0,0,True,False
27,frame_0282.jpg,112.8,0.5016,0.5113,0.5,0.48,3,2,False,False
28,frame_0079.jpg,31.6,0.4984,0.3767,0.5,0.8,3,2,False,False
29,frame_0008.jpg,3.2,0.4816,0.2633,0.5,1.0,3,2,False,False
30,frame_0031.jpg,12.4,0.4805,0.2611,0.5,1.0,5,2,False,False
31,frame_0077.jpg,30.8,0.4798,0.3075,0.5,0.88,5,2,False,False
32,frame_0027.jpg,10.8,0.4693,0.3886,0.25,1.0,1,1,False,False
33,frame_0299.jpg,119.6,0.4678,0.4277,0.5,0.52,3,2,False,False
34,frame_0176.jpg,70.4,0.4562,0.3665,0.75,0.24,4,3,False,False
35,frame_0072.jpg,28.8,0.444,0.338,0.25,1.0,1,1,False,False
36,frame_0285.jpg,114.0,0.4354,0.3308,0.5,0.6,3,2,False,False
37,frame_0081.jpg,32.4,0.4273,0.4165,0.25,0.72,2,1,False,False
38,frame_0021.jpg,8.4,0.4208,0.2915,0.25,1.0,2,1,False,False
39,frame_0076.jpg,30.4,0.4186,0.3192,0.25,0.92,2,1,False,False
40,frame_0315.jpg,126.0,0.4171,0.3362,0.75,0.12,7,3,False,False
41,frame_0126.jpg,50.4,0.4166,0.2292,0.5,0.76,4,2,False,False
42,frame_0378.jpg,151.2,0.4123,0.3427,0.75,0.08,5,3,False,False
43,frame_0016.jpg,6.4,0.4117,0.2734,0.25,1.0,3,1,False,False
44,frame_0226.jpg,90.4,0.4103,0.5047,0.5,0.04,2,2,False,False
45,frame_0015.jpg,6.0,0.4,0.25,0.25,1.0,3,1,False,False
46,frame_0068.jpg,27.2,0.3957,0.2415,0.25,1.0,3,1,False,False
47,frame_0011.jpg,4.4,0.3895,0.229,0.25,1.0,2,1,False,False
48,frame_0074.jpg,29.6,0.3877,0.2254,0.25,1.0,5,1,False,False
49,frame_0208.jpg,83.2,0.3862,0.3183,0.25,0.76,2,1,False,False
50,frame_0288.jpg,115.2,0.3832,0.3284,0.25,0.72,7,1,False,False
51,frame_0082.jpg,32.8,0.3784,0.3348,0.25,0.68,2,1,False,False
52,frame_0002.jpg,0.8,0.3775,0.2051,0.25,1.0,4,1,False,False
53,frame_0128.jpg,51.2,0.3761,0.2662,0.25,0.84,3,1,False,False
54,frame_0125.jpg,50.0,0.3757,0.3134,0.25,0.72,4,1,False,False
55,frame_0203.jpg,81.2,0.3743,0.3425,0.25,0.64,2,1,False,False
56,frame_0114.jpg,45.6,0.3736,0.4852,0.25,0.28,1,1,False,False
57,frame_0272.jpg,108.8,0.373,0.4139,0.5,0.08,2,2,False,False
58,frame_0291.jpg,116.4,0.3707,0.2554,0.25,0.84,4,1,False,False
59,frame_0069.jpg,27.6,0.37,0.1901,0.25,1.0,3,1,False,False
60,frame_0198.jpg,79.2,0.3618,0.3976,0.25,0.44,2,1,False,False
61,frame_0293.jpg,117.2,0.3605,0.2669,0.25,0.76,2,1,False,False
62,frame_0295.jpg,118.0,0.3578,0.2935,0.25,0.68,4,1,False,False
63,frame_0078.jpg,31.2,0.3561,0.2263,0.25,0.84,3,1,False,False
64,frame_0214.jpg,85.6,0.3495,0.3409,0.25,0.52,2,1,False,False
65,frame_0289.jpg,115.6,0.3385,0.223,0.25,0.76,6,1,False,False
66,frame_0080.jpg,32.0,0.3356,0.2172,0.25,0.76,3,1,False,False
67,frame_0127.jpg,50.8,0.3346,0.1991,0.25,0.8,7,1,False,False
68,frame_0294.jpg,117.6,0.329,0.2201,0.25,0.72,2,1,False,False
69,frame_0017.jpg,6.8,0.3275,0.255,0.0,1.0,2,0,False,False
70,frame_0204.jpg,81.6,0.3274,0.2327,0.25,0.68,2,1,False,False
71,frame_0283.jpg,113.2,0.3196,0.2811,0.25,0.52,2,1,False,False
72,frame_0399.jpg,159.6,0.3182,0.3745,0.25,0.28,4,1,False,False
73,frame_0396.jpg,158.4,0.3135,0.263,0.5,0.16,5,2,False,False
74,frame_0188.jpg,75.2,0.313,0.4599,0.25,0.04,2,1,False,False
75,frame_0115.jpg,46.0,0.3116,0.3453,0.25,0.32,3,1,False,False
76,frame_0297.jpg,118.8,0.3098,0.2297,0.25,0.6,2,1,False,False
77,frame_0271.jpg,108.4,0.309,0.4521,0.25,0.04,2,1,False,False
78,frame_0225.jpg,90.0,0.3086,0.2853,0.5,0.08,3,2,False,False
79,frame_0281.jpg,112.4,0.307,0.2879,0.25,0.44,3,1,False,False
80,frame_0318.jpg,127.2,0.3069,0.3678,0.25,0.24,1,1,False,False
81,frame_0327.jpg,130.8,0.3031,0.2902,0.5,0.04,3,2,False,False
82,frame_0070.jpg,28.0,0.3021,0.2041,0.0,1.0,3,0,False,False
83,frame_0323.jpg,129.2,0.3017,0.2554,0.5,0.12,5,2,False,False
84,frame_0333.jpg,133.2,0.3014,0.2708,0.5,0.08,5,2,False,False
85,frame_0119.jpg,47.6,0.3007,0.2594,0.25,0.48,4,1,False,False
86,frame_0374.jpg,149.6,0.2997,0.2194,0.5,0.2,5,2,False,False
87,frame_0005.jpg,2.0,0.2981,0.1962,0.0,1.0,1,0,False,False
88,frame_0231.jpg,92.4,0.2971,0.2302,0.5,0.16,6,2,False,False
89,frame_0300.jpg,120.0,0.297,0.2519,0.25,0.48,3,1,False,False
90,frame_0298.jpg,119.2,0.2941,0.2141,0.25,0.56,3,1,False,False
91,frame_0028.jpg,11.2,0.2932,0.1864,0.0,1.0,2,0,False,False
92,frame_0006.jpg,2.4,0.2873,0.1746,0.0,1.0,1,0,False,False
93,frame_0324.jpg,129.6,0.2856,0.2392,0.5,0.08,5,2,False,False
94,frame_0012.jpg,4.8,0.2847,0.1694,0.0,1.0,1,0,False,False
95,frame_0207.jpg,82.8,0.2846,0.2492,0.0,0.8,1,0,False,False
96,frame_0174.jpg,69.6,0.284,0.29,0.25,0.32,2,1,False,False
97,frame_0033.jpg,13.2,0.2837,0.1673,0.0,1.0,3,0,False,False
98,frame_0130.jpg,52.0,0.2801,0.1922,0.0,0.92,2,0,False,False
99,frame_0004.jpg,1.6,0.279,0.1579,0.0,1.0,2,0,False,False
100,frame_0075.jpg,30.0,0.2774,0.1708,0.0,0.96,5,0,False,False
101,frame_0173.jpg,69.2,0.2772,0.2604,0.25,0.36,4,1,False,False
102,frame_0170.jpg,68.0,0.2771,0.2121,0.25,0.48,4,1,False,False
103,frame_0116.jpg,46.4,0.277,0.2599,0.25,0.36,3,1,False,False
104,frame_0000.jpg,0.0,0.2769,0.1537,0.0,1.0,3,0,False,False
105,frame_0019.jpg,7.6,0.2759,0.1517,0.0,1.0,2,0,False,False
106,frame_0014.jpg,5.6,0.275,0.15,0.0,1.0,1,0,False,False
107,frame_0131.jpg,52.4,0.2747,0.1654,0.0,0.96,1,0,False,False
108,frame_0306.jpg,122.4,0.2744,0.3029,0.25,0.24,2,1,False,False
109,frame_0129.jpg,51.6,0.274,0.1959,0.0,0.88,3,0,False,False
110,frame_0101.jpg,40.4,0.27,0.358,0.25,0.08,1,1,False,False
111,frame_0133.jpg,53.2,0.27,0.14,0.0,1.0,2,0,False,False
112,frame_0018.jpg,7.2,0.2696,0.1392,0.0,1.0,3,0,False,False
113,frame_0088.jpg,35.2,0.2687,0.2115,0.25,0.44,2,1,False,False
114,frame_0032.jpg,12.8,0.2681,0.1361,0.0,1.0,4,0,False,False
115,frame_0067.jpg,26.8,0.2678,0.1356,0.0,1.0,4,0,False,False
116,frame_0301.jpg,120.4,0.2674,0.2087,0.25,0.44,4,1,False,False
117,frame_0071.jpg,28.4,0.2642,0.1284,0.0,1.0,2,0,False,False
118,frame_0192.jpg,76.8,0.2641,0.2983,0.25,0.2,2,1,False,False
119,frame_0003.jpg,1.2,0.2631,0.1261,0.0,1.0,4,0,False,False
120,frame_0024.jpg,9.6,0.261,0.122,0.0,1.0,2,0,False,False
121,frame_0007.jpg,2.8,0.2598,0.1196,0.0,1.0,3,0,False,False
122,frame_0213.jpg,85.2,0.2575,0.291,0.0,0.56,1,0,False,False
123,frame_0013.jpg,5.2,0.2557,0.1114,0.0,1.0,1,0,False,False
124,frame_0073.jpg,29.2,0.2557,0.1114,0.0,1.0,1,0,False,False
125,frame_0029.jpg,11.6,0.2553,0.1106,0.0,1.0,2,0,False,False
126,frame_0224.jpg,89.6,0.2553,0.3125,0.25,0.12,2,1,False,False
127,frame_0022.jpg,8.8,0.2546,0.1092,0.0,1.0,1,0,False,False
128,frame_0026.jpg,10.4,0.2525,0.105,0.0,1.0,1,0,False,False
129,frame_0030.jpg,12.0,0.251,0.102,0.0,1.0,2,0,False,False
130,frame_0177.jpg,70.8,0.2498,0.2696,0.25,0.2,3,1,False,False
